name,email,username,password,birthdate,account_status
Trude Babst,tbabst0@usnews.com,tbabst0,fW2=x./hOU@S7_,08/09/1990,Blocked
Griffin Crack,gcrack1@studiopress.com,gcrack1,xF9%lMwO/=gDK,16/03/1994,Active
Claire Schinetti,cschinetti2@csmonitor.com,cschinetti2,jI9?2(&_G#47qC,18/04/1993,Active
Kissee Teligin,kteligin3@deliciousdays.com,kteligin3,"xI2""W1e3",29/08/1990,Inactive
Ellie Iwanczyk,eiwanczyk4@parallels.com,eiwanczyk4,yJ1!8nAn*+aj,16/01/1992,Inactive
Wells Pooley,wpooley5@hibu.com,wpooley5,"bK3""tHLm",01/10/1995,Active
Garik Jacmar,gjacmar6@vinaora.com,gjacmar6,uL8~co\P)yb,10/06/1998,Active
Siusan O'Hartnett,sohartnett7@yelp.com,sohartnett7,lH5.&aqgp>7',02/11/1991,Inactive
Joachim Kapelhoff,jkapelhoff8@upenn.edu,jkapelhoff8,"vL2=X!H'!+xcFy""p",18/01/1990,Active
Correy Whapham,cwhapham9@cyberchimps.com,cwhapham9,"gN2>~.X""f'#*O",22/12/1993,Active
Byron Andriulis,bandriulisa@tinyurl.com,bandriulisa,wG2=#P@8Pery&ar!,15/02/1997,Active
Morgana Cayford,mcayfordb@wufoo.com,mcayfordb,"rA7>,(@a",15/03/1992,Active
Scarlet Raoult,sraoultc@disqus.com,sraoultc,dG7*/(mJjYI@`,16/10/1999,Active
Casper Ferrierio,cferrieriod@ebay.co.uk,cferrieriod,lS4*U=MO,15/12/1997,Active
Tildie Menichillo,tmenichilloe@yale.edu,tmenichilloe,"bO0_B*{G6,(d",20/06/1999,Active
Carlynn Coldicott,ccoldicottf@nbcnews.com,ccoldicottf,"kU0/J\y_9x<OC,e",28/08/1998,Active
Boone Huyge,bhuygeg@parallels.com,bhuygeg,"qE2>gk_""lvy",13/03/1993,Active
Martha Broadbear,mbroadbearh@craigslist.org,mbroadbearh,uD3@glBE2pq,11/11/1997,Inactive
Hermon Ellar,hellari@cbc.ca,hellari,qN2'*|maa,07/01/1991,Active
Ingram Gomm,igommj@msu.edu,igommj,hG8\jmwe,26/02/1998,Active
Beryl Castanyer,bcastanyerk@canalblog.com,bcastanyerk,"hH5*~!<d,D=",13/02/1998,Active
Jerrilee Featherstonhalgh,jfeatherstonhalghl@printfriendly.com,jfeatherstonhalghl,pI7).d4E,19/12/1993,Blocked
Elisabet Perrigo,eperrigom@wikimedia.org,eperrigom,fI3&m_+u,12/04/1993,Active
Elaina Kelby,ekelbyn@prweb.com,ekelbyn,aH6~P_tA,05/10/1996,Blocked
Carlota Larvor,clarvoro@xinhuanet.com,clarvoro,kV4%@Hqp,23/08/1999,Active
Montgomery Paszak,mpaszakp@edublogs.org,mpaszakp,pQ5(UBm.So,30/05/1994,Active
Lindsey Brookes,lbrookesq@elegantthemes.com,lbrookesq,"sP9,Y~(EelrMU5",04/04/1996,Inactive
Marja Pley,mpleyr@amazon.co.uk,mpleyr,"jS3}7""Y&8N",02/01/1998,Active
Corabella Albury,calburys@4shared.com,calburys,"uK3,|(eo(""""",15/01/1995,Active
Clara Pinckney,cpinckneyt@nytimes.com,cpinckneyt,wT0<@9M28?i{kW?u,01/01/1992,Active
Natassia Duncan,nduncanu@theglobeandmail.com,nduncanu,gZ9?hL.r(Oabd,06/09/1997,Active
Broddie Willshear,bwillshearv@sakura.ne.jp,bwillshearv,"rN2=6g1?gv""",14/10/1998,Active
Magdalene Laurisch,mlaurischw@tamu.edu,mlaurischw,"lQ1""OF*""q|*v",28/12/1990,Inactive
Maureen Giorgi,mgiorgix@scribd.com,mgiorgix,"vB0,8ydx<s+PJtR""",11/12/1997,Active
Ilysa Fechnie,ifechniey@google.com.hk,ifechniey,uR1<yPJva+QiU,02/05/1992,Active
Eleanor Forbes,eforbesz@devhub.com,eforbesz,gW4#@|<H\J{rZ%>8,31/01/1990,Active
Gordy Abdy,gabdy10@flavors.me,gabdy10,vW4>60xuW?\}8!q7,14/08/1999,Active
Chloris Long,clong11@globo.com,clong11,sS4?jb0qSwUC3I,20/12/1990,Blocked
